artikelnummer|ean|hersteller|titel|verkaufspreis|bild1|menge|einheit|typ|||desc
9101416-HGN|5060333435646|Applaws|Applaws Cat Trockenfutter Hühnchen mit Ente - 2 kg|16,71|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/5060333435646.jpg|2|kg|dry|||
9101411-HGN|5060333435653|Applaws|Applaws Cat Trockenfutter Hühnchen mit Ente - 7,5 kg|38,62|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/5060333435653.jpg|7,5|kg|dry|||
9103309-HGN|5060333439637|Applaws|Applaws Cat Trockenfutter Hühnchen mit Lamm - 7,5 kg|38,62|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/5060333439637.jpg|7,5|kg|dry|||
9103308-HGN|5060333439460|Applaws|Applaws Cat Trockenfutter Hühnchen mit Lamm - 2 kg|16,71|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/5060333439460.jpg|2|kg|dry|||
9103310-HGN|5060333439644|Applaws|Applaws Cat Trockenfutter Hühnchen mit Lamm - 400 g|4,47|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/5060333439644.jpg|0,4|kg|dry|||
9113624-HGN|8595602554201|Brit Care|Brit Care Cat Grain-Free - Sensitive - Food Allergy - 400g|3,73|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/8595602554201.jpg|0,4|kg|dry|||
9113623-HGN|8595602554218|Brit Care|Brit Care Cat Grain-Free - Sensitive - Food Allergy - 2kg|12,44|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/8595602554218.jpg|2|kg|dry|||
9111726-HGN|8595602540686|Brit Care|Brit Care Cat Grain-Free - Kitten - 400g|3,59|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/8595602540686.jpg|0,4|kg|dry|||
9111725-HGN|8595602540679|Brit Care|Brit Care Cat Grain-Free - Kitten - 2kg|11,74|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/8595602540679.jpg|2|kg|dry|||
9111745-HGN|8595602540778|Brit Care|Brit Care Cat Grain-Free - Sterilized - Sensitive - 400g|3,73|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/8595602540778.jpg|0,4|kg|dry|||
